heartRate_cozie,light_cozie,noise_cozie,thermal_cozie,user_id,room,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,temperature_mbient,time-numeric
94.0,10.0,10.0,11.0,cresh05,OPEN_EXHIBITION_SPACE_2,73.837,147.0,69.0,28.9294,31.125,11.8
73.0,10.0,10.0,11.0,cresh05,IRC_LIBRARY_1,62.4254,157.0,48.0,26.8014,30.625,11.11
69.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,53.0844,72.0,44.0,24.2849,28.625,11.15
62.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,53.0844,72.0,44.0,24.2849,28.625,11.15
63.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,53.0917,71.0,44.0,24.2564,28.5,11.15
68.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,53.0917,71.0,44.0,24.2564,28.5,11.16
76.0,9.0,11.0,10.0,cresh07,CAFE,71.65100000000001,83.0,64.0,27.5869,31.75,11.18
61.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,52.8885,71.0,45.0,24.4175,28.875,11.30
62.0,10.0,10.0,11.0,cresh05,IRC_LIBRARY_1,62.4083,165.0,47.0,26.8151,31.0,11.33
65.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,52.6464,70.0,44.0,24.4481,28.75,11.45
66.0,10.0,10.0,11.0,cresh05,IRC_LIBRARY_1,62.1249,347.0,46.0,26.8919,31.25,11.47
72.0,10.0,10.0,11.0,cresh05,IRC_LIBRARY_1,62.0166,330.0,46.0,26.874000000000002,31.25,11.49
75.0,9.0,10.0,10.0,cresh07,OPEN_EXHIBITION_SPACE_2,72.6836,178.0,65.0,29.259,31.375,11.50
62.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,52.7291,72.0,44.0,24.4344,28.75,12.0
69.0,10.0,10.0,10.0,cresh05,IRC_LIBRARY_1,61.7161,313.0,49.0,26.9783,30.875,12.5
70.0,10.0,10.0,11.0,cresh05,IRC_LIBRARY_1,61.7161,313.0,49.0,26.9783,30.875,12.5
72.0,9.0,11.0,10.0,cresh07,CAFE,67.801,89.0,67.0,28.5872,31.75,12.6
73.0,10.0,10.0,10.0,cresh01,IRC_LIBRARY_1,61.7295,333.0,46.0,26.9783,28.625,12.9
66.0,10.0,10.0,11.0,cresh05,IRC_LIBRARY_1,61.5883,374.0,48.0,27.0099,30.875,12.13
75.0,9.0,11.0,10.0,cresh07,OPEN_EXHIBITION_SPACE_2,69.9475,210.0,64.0,29.5232,31.75,12.13
67.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,52.3678,75.0,44.0,24.4765,28.75,12.15
59.0,10.0,10.0,10.0,cresh01,IRC_LIBRARY_1,61.4375,430.0,46.0,27.0825,28.75,12.21
56.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,52.5381,67.0,44.0,24.2986,28.25,12.30
68.0,9.0,10.0,10.0,cresh07,CAFE,69.4304,89.0,67.0,28.6894,31.5,12.32
60.0,10.0,10.0,10.0,cresh01,IRC_LIBRARY_1,61.2051,349.0,46.0,27.2005,28.625,12.33
80.0,10.0,10.0,11.0,cresh10,EXECUTIVE_SEMINAR_ROOM_A,61.257,1294.0,56.0,27.5316,29.5,12.39
79.0,9.0,10.0,10.0,cresh07,CAFE,68.5574,98.0,68.0,28.5559,31.5,12.44
